,[0 0 0 0 0 0],[0 0 0 0 0 1],[0 0 0 0 1 0],[0 0 0 0 1 1],[0 0 0 1 0 0],[0 0 0 1 0 1],[0 0 0 1 1 0],[0 0 0 1 1 1],[0 0 1 0 0 0],[0 0 1 0 0 1],[0 0 1 0 1 0],[0 0 1 0 1 1],[0 0 1 1 0 0],[0 0 1 1 0 1],[0 0 1 1 1 0],[0 0 1 1 1 1],[0 1 0 0 0 0],[0 1 0 0 0 1],[0 1 0 0 1 0],[0 1 0 0 1 1],[0 1 0 1 0 0],[0 1 0 1 0 1],[0 1 0 1 1 0],[0 1 0 1 1 1],[0 1 1 0 0 0],[0 1 1 0 0 1],[0 1 1 0 1 0],[0 1 1 0 1 1],[0 1 1 1 0 0],[0 1 1 1 0 1],[0 1 1 1 1 0],[0 1 1 1 1 1],[1 0 0 0 0 0],[1 0 0 0 0 1],[1 0 0 0 1 0],[1 0 0 0 1 1],[1 0 0 1 0 0],[1 0 0 1 0 1],[1 0 0 1 1 0],[1 0 0 1 1 1],[1 0 1 0 0 0],[1 0 1 0 0 1],[1 0 1 0 1 0],[1 0 1 0 1 1],[1 0 1 1 0 0],[1 0 1 1 0 1],[1 0 1 1 1 0],[1 0 1 1 1 1],[1 1 0 0 0 0],[1 1 0 0 0 1],[1 1 0 0 1 0],[1 1 0 0 1 1],[1 1 0 1 0 0],[1 1 0 1 0 1],[1 1 0 1 1 0],[1 1 0 1 1 1],[1 1 1 0 0 0],[1 1 1 0 0 1],[1 1 1 0 1 0],[1 1 1 0 1 1],[1 1 1 1 0 0],[1 1 1 1 0 1],[1 1 1 1 1 0],[1 1 1 1 1 1]
[0 1 0 1 0 0],0.634,0.426,0.528,0.441,0.5,0.528,0.5,0.476,0.444,0.436,0.717,0.476,0.5,0.517,0.508,0.522,0.464,0.415,0.519,0.421,1.0,0.609,0.525,0.507,0.483,0.483,0.604,0.522,0.5,0.54,0.517,0.582,0.545,0.436,0.528,0.45,0.5,0.537,0.5,0.484,0.348,0.354,0.75,0.5,0.5,0.554,0.525,0.542,0.5,0.466,0.537,0.484,0.5,0.59,0.54,0.529,0.483,0.492,0.604,0.529,0.5,0.547,0.517,0.656
[0 1 0 1 0 1],0.618,0.455,0.507,0.435,0.48,0.5,0.464,0.443,0.48,0.471,0.571,0.371,0.458,0.467,0.448,0.466,0.494,0.455,0.507,0.426,0.391,1.0,0.393,0.381,0.458,0.455,0.491,0.435,0.435,0.467,0.431,0.512,0.541,0.455,0.5,0.435,0.473,0.5,0.456,0.443,0.443,0.438,0.5,0.25,0.418,0.467,0.422,0.451,0.487,0.455,0.484,0.443,0.418,0.5,0.439,0.435,0.451,0.455,0.482,0.435,0.426,0.467,0.422,0.594
[0 1 0 1 1 0],0.64,0.474,0.517,0.5,0.5,0.547,0.5,0.508,0.5,0.508,0.533,0.638,0.439,0.472,0.5,0.544,0.515,0.492,0.533,0.508,0.475,0.607,1.0,0.516,0.439,0.455,0.462,0.537,0.467,0.525,0.5,0.597,0.562,0.483,0.517,0.508,0.5,0.556,0.5,0.516,0.484,0.5,0.562,0.646,0.319,0.417,0.5,0.551,0.5,0.483,0.5,0.517,0.458,0.571,0.5,0.523,0.475,0.5,0.5,0.576,0.467,0.533,0.5,0.67
[0 1 0 1 1 1],0.649,0.508,0.53,0.517,0.521,0.571,0.492,0.5,0.521,0.531,0.537,0.652,0.493,0.525,0.411,0.462,0.534,0.516,0.537,0.517,0.493,0.619,0.484,1.0,0.493,0.508,0.5,0.571,0.404,0.462,0.353,0.5,0.575,0.508,0.523,0.517,0.514,0.571,0.484,0.5,0.5,0.516,0.557,0.652,0.469,0.541,0.298,0.364,0.514,0.5,0.5,0.517,0.469,0.579,0.476,0.5,0.452,0.474,0.456,0.538,0.393,0.462,0.34,0.611
[0 1 1 0 0 0],0.611,0.34,0.436,0.415,0.5,0.441,0.519,0.459,0.5,0.476,0.516,0.492,0.652,0.484,0.508,0.522,0.462,0.4,0.516,0.492,0.517,0.542,0.561,0.507,1.0,0.484,0.508,0.537,0.556,0.507,0.517,0.582,0.5,0.353,0.436,0.426,0.533,0.484,0.554,0.5,0.5,0.484,0.557,0.516,0.652,0.522,0.525,0.542,0.364,0.312,0.5,0.516,0.517,0.522,0.576,0.529,0.5,0.492,0.508,0.544,0.556,0.515,0.517,0.656
[0 1 1 0 0 1],0.67,0.5,0.508,0.491,0.54,0.483,0.545,0.483,0.523,0.5,0.508,0.482,0.646,0.483,0.491,0.508,0.551,0.5,0.475,0.442,0.517,0.545,0.545,0.492,0.516,1.0,0.492,0.525,0.545,0.5,0.491,0.569,0.597,0.5,0.5,0.491,0.5,0.444,0.5,0.446,0.516,0.5,0.544,0.5,0.638,0.516,0.5,0.523,0.544,0.5,0.354,0.37,0.508,0.516,0.554,0.508,0.508,0.5,0.483,0.525,0.537,0.5,0.482,0.648
[0 1 1 0 1 0],0.64,0.474,0.5,0.5,0.484,0.491,0.556,0.508,0.484,0.492,0.5,0.491,0.492,0.66,0.517,0.544,0.5,0.474,0.5,0.491,0.396,0.509,0.538,0.5,0.492,0.508,1.0,0.547,0.484,0.579,0.517,0.597,0.562,0.483,0.5,0.508,0.484,0.5,0.556,0.516,0.429,0.444,0.5,0.463,0.475,0.68,0.517,0.551,0.515,0.5,0.5,0.532,0.319,0.417,0.571,0.537,0.492,0.516,0.5,0.554,0.484,0.586,0.517,0.67
[0 1 1 0 1 1],0.636,0.492,0.5,0.5,0.507,0.516,0.508,0.467,0.507,0.515,0.507,0.5,0.463,0.617,0.45,0.484,0.52,0.5,0.507,0.5,0.478,0.565,0.463,0.429,0.463,0.475,0.453,1.0,0.429,0.519,0.421,0.529,0.561,0.492,0.493,0.5,0.5,0.516,0.5,0.467,0.486,0.5,0.527,0.5,0.4,0.6,0.4,0.448,0.5,0.484,0.47,0.5,0.455,0.524,0.356,0.333,0.455,0.475,0.444,0.5,0.419,0.519,0.411,0.619
[0 1 1 1 0 0],0.634,0.434,0.483,0.491,0.5,0.483,0.509,0.566,0.483,0.483,0.524,0.526,0.5,0.508,0.652,0.571,0.5,0.464,0.508,0.509,0.5,0.565,0.533,0.596,0.444,0.455,0.516,0.571,1.0,0.531,0.564,0.63,0.545,0.444,0.483,0.5,0.5,0.492,0.509,0.574,0.483,0.492,0.565,0.55,0.5,0.545,0.667,0.591,0.464,0.434,0.455,0.5,0.5,0.545,0.548,0.617,0.348,0.375,0.516,0.578,0.5,0.538,0.564,0.7
[0 1 1 1 0 1],0.649,0.5,0.507,0.517,0.514,0.5,0.508,0.564,0.514,0.516,0.492,0.491,0.493,0.5,0.612,0.548,0.528,0.5,0.507,0.509,0.46,0.533,0.475,0.538,0.493,0.5,0.421,0.481,0.469,1.0,0.509,0.594,0.575,0.5,0.5,0.517,0.507,0.5,0.5,0.564,0.477,0.483,0.5,0.472,0.452,0.5,0.587,0.533,0.521,0.5,0.484,0.525,0.414,0.462,0.446,0.52,0.485,0.5,0.312,0.391,0.46,0.5,0.5,0.671
