number of characters,length of case,case,expected value
11,3,[2. 3. 8.],1331.0
11,3,[2. 3. 9.],1331.0
11,3,[ 2.  3. 10.],1331.0
11,3,[2. 4. 0.],1331.0
11,3,[2. 4. 1.],1331.0
11,3,[2. 4. 2.],1342.0
11,3,[2. 4. 3.],1331.0
11,3,[2. 4. 4.],1331.0
11,3,[2. 4. 5.],1331.0
11,3,[2. 4. 6.],1331.0
11,3,[2. 4. 7.],1331.0
11,3,[2. 4. 8.],1331.0
11,3,[2. 4. 9.],1331.0
11,3,[ 2.  4. 10.],1331.0
11,3,[2. 5. 0.],1331.0
11,3,[2. 5. 1.],1331.0
11,3,[2. 5. 2.],1342.0
11,3,[2. 5. 3.],1331.0
11,3,[2. 5. 4.],1331.0
11,3,[2. 5. 5.],1331.0
11,3,[2. 5. 6.],1331.0
11,3,[2. 5. 7.],1331.0
11,3,[2. 5. 8.],1331.0
11,3,[2. 5. 9.],1331.0
11,3,[ 2.  5. 10.],1331.0
11,3,[2. 6. 0.],1331.0
11,3,[2. 6. 1.],1331.0
11,3,[2. 6. 2.],1342.0
11,3,[2. 6. 3.],1331.0
11,3,[2. 6. 4.],1331.0
11,3,[2. 6. 5.],1331.0
11,3,[2. 6. 6.],1331.0
11,3,[2. 6. 7.],1331.0
11,3,[2. 6. 8.],1331.0
11,3,[2. 6. 9.],1331.0
11,3,[ 2.  6. 10.],1331.0
11,3,[2. 7. 0.],1331.0
11,3,[2. 7. 1.],1331.0
11,3,[2. 7. 2.],1342.0
11,3,[2. 7. 3.],1331.0
11,3,[2. 7. 4.],1331.0
11,3,[2. 7. 5.],1331.0
11,3,[2. 7. 6.],1331.0
11,3,[2. 7. 7.],1331.0
11,3,[2. 7. 8.],1331.0
11,3,[2. 7. 9.],1331.0
11,3,[ 2.  7. 10.],1331.0
11,3,[2. 8. 0.],1331.0
11,3,[2. 8. 1.],1331.0
11,3,[2. 8. 2.],1342.0
11,3,[2. 8. 3.],1331.0
11,3,[2. 8. 4.],1331.0
11,3,[2. 8. 5.],1331.0
11,3,[2. 8. 6.],1331.0
11,3,[2. 8. 7.],1331.0
11,3,[2. 8. 8.],1331.0
11,3,[2. 8. 9.],1331.0
11,3,[ 2.  8. 10.],1331.0
