number_of_characters,length_of_case,absorbing_state,expected_value
10,3,[4. 8. 6.],1000
10,3,[4. 8. 7.],1000
10,3,[4. 8. 8.],1000
10,3,[4. 8. 9.],1000
10,3,[4. 9. 0.],1000
10,3,[4. 9. 1.],1000
10,3,[4. 9. 2.],1000
10,3,[4. 9. 3.],1000
10,3,[4. 9. 4.],1010
10,3,[4. 9. 5.],1000
10,3,[4. 9. 6.],1000
10,3,[4. 9. 7.],1000
10,3,[4. 9. 8.],1000
10,3,[4. 9. 9.],1000
10,3,[5. 0. 0.],1000
10,3,[5. 0. 1.],1000
10,3,[5. 0. 2.],1000
10,3,[5. 0. 3.],1000
10,3,[5. 0. 4.],1000
10,3,[5. 0. 5.],1010
10,3,[5. 0. 6.],1000
10,3,[5. 0. 7.],1000
10,3,[5. 0. 8.],1000
10,3,[5. 0. 9.],1000
10,3,[5. 1. 0.],1000
10,3,[5. 1. 1.],1000
10,3,[5. 1. 2.],1000
10,3,[5. 1. 3.],1000
10,3,[5. 1. 4.],1000
10,3,[5. 1. 5.],1010
10,3,[5. 1. 6.],1000
10,3,[5. 1. 7.],1000
10,3,[5. 1. 8.],1000
10,3,[5. 1. 9.],1000
10,3,[5. 2. 0.],1000
10,3,[5. 2. 1.],1000
10,3,[5. 2. 2.],1000
10,3,[5. 2. 3.],1000
10,3,[5. 2. 4.],1000
10,3,[5. 2. 5.],1010
10,3,[5. 2. 6.],1000
10,3,[5. 2. 7.],1000
10,3,[5. 2. 8.],1000
10,3,[5. 2. 9.],1000
10,3,[5. 3. 0.],1000
10,3,[5. 3. 1.],1000
10,3,[5. 3. 2.],1000
10,3,[5. 3. 3.],1000
10,3,[5. 3. 4.],1000
10,3,[5. 3. 5.],1010
10,3,[5. 3. 6.],1000
10,3,[5. 3. 7.],1000
10,3,[5. 3. 8.],1000
10,3,[5. 3. 9.],1000
10,3,[5. 4. 0.],1000
10,3,[5. 4. 1.],1000
10,3,[5. 4. 2.],1000
10,3,[5. 4. 3.],1000
10,3,[5. 4. 4.],1000
10,3,[5. 4. 5.],1010
10,3,[5. 4. 6.],1000
10,3,[5. 4. 7.],1000
10,3,[5. 4. 8.],1000
10,3,[5. 4. 9.],1000
10,3,[5. 5. 0.],1100
10,3,[5. 5. 1.],1100
10,3,[5. 5. 2.],1100
10,3,[5. 5. 3.],1100
10,3,[5. 5. 4.],1100
10,3,[5. 5. 5.],1110
10,3,[5. 5. 6.],1100
10,3,[5. 5. 7.],1100
10,3,[5. 5. 8.],1100
10,3,[5. 5. 9.],1100
10,3,[5. 6. 0.],1000
10,3,[5. 6. 1.],1000
10,3,[5. 6. 2.],1000
10,3,[5. 6. 3.],1000
10,3,[5. 6. 4.],1000
10,3,[5. 6. 5.],1010
10,3,[5. 6. 6.],1000
10,3,[5. 6. 7.],1000
10,3,[5. 6. 8.],1000
10,3,[5. 6. 9.],1000
10,3,[5. 7. 0.],1000
10,3,[5. 7. 1.],1000
10,3,[5. 7. 2.],1000
10,3,[5. 7. 3.],1000
10,3,[5. 7. 4.],1000
10,3,[5. 7. 5.],1010
10,3,[5. 7. 6.],1000
10,3,[5. 7. 7.],1000
10,3,[5. 7. 8.],1000
10,3,[5. 7. 9.],1000
10,3,[5. 8. 0.],1000
10,3,[5. 8. 1.],1000
10,3,[5. 8. 2.],1000
10,3,[5. 8. 3.],1000
10,3,[5. 8. 4.],1000
10,3,[5. 8. 5.],1010
10,3,[5. 8. 6.],1000
10,3,[5. 8. 7.],1000
10,3,[5. 8. 8.],1000
10,3,[5. 8. 9.],1000
10,3,[5. 9. 0.],1000
10,3,[5. 9. 1.],1000
10,3,[5. 9. 2.],1000
10,3,[5. 9. 3.],1000
10,3,[5. 9. 4.],1000
10,3,[5. 9. 5.],1010
10,3,[5. 9. 6.],1000
10,3,[5. 9. 7.],1000
10,3,[5. 9. 8.],1000
10,3,[5. 9. 9.],1000
10,3,[6. 0. 0.],1000
10,3,[6. 0. 1.],1000
10,3,[6. 0. 2.],1000
10,3,[6. 0. 3.],1000
10,3,[6. 0. 4.],1000
10,3,[6. 0. 5.],1000
10,3,[6. 0. 6.],1010
10,3,[6. 0. 7.],1000
10,3,[6. 0. 8.],1000
10,3,[6. 0. 9.],1000
10,3,[6. 1. 0.],1000
10,3,[6. 1. 1.],1000
10,3,[6. 1. 2.],1000
10,3,[6. 1. 3.],1000
10,3,[6. 1. 4.],1000
10,3,[6. 1. 5.],1000
10,3,[6. 1. 6.],1010
10,3,[6. 1. 7.],1000
10,3,[6. 1. 8.],1000
10,3,[6. 1. 9.],1000
10,3,[6. 2. 0.],1000
10,3,[6. 2. 1.],1000
10,3,[6. 2. 2.],1000
10,3,[6. 2. 3.],1000
10,3,[6. 2. 4.],1000
10,3,[6. 2. 5.],1000
10,3,[6. 2. 6.],1010
10,3,[6. 2. 7.],1000
10,3,[6. 2. 8.],1000
10,3,[6. 2. 9.],1000
10,3,[6. 3. 0.],1000
10,3,[6. 3. 1.],1000
10,3,[6. 3. 2.],1000
10,3,[6. 3. 3.],1000
10,3,[6. 3. 4.],1000
10,3,[6. 3. 5.],1000
10,3,[6. 3. 6.],1010
10,3,[6. 3. 7.],1000
10,3,[6. 3. 8.],1000
10,3,[6. 3. 9.],1000
10,3,[6. 4. 0.],1000
10,3,[6. 4. 1.],1000
10,3,[6. 4. 2.],1000
10,3,[6. 4. 3.],1000
10,3,[6. 4. 4.],1000
10,3,[6. 4. 5.],1000
10,3,[6. 4. 6.],1010
10,3,[6. 4. 7.],1000
10,3,[6. 4. 8.],1000
10,3,[6. 4. 9.],1000
10,3,[6. 5. 0.],1000
10,3,[6. 5. 1.],1000
10,3,[6. 5. 2.],1000
10,3,[6. 5. 3.],1000
10,3,[6. 5. 4.],1000
10,3,[6. 5. 5.],1000
10,3,[6. 5. 6.],1010
10,3,[6. 5. 7.],1000
10,3,[6. 5. 8.],1000
10,3,[6. 5. 9.],1000
10,3,[6. 6. 0.],1100
10,3,[6. 6. 1.],1100
10,3,[6. 6. 2.],1100
10,3,[6. 6. 3.],1100
10,3,[6. 6. 4.],1100
10,3,[6. 6. 5.],1100
10,3,[6. 6. 6.],1110
10,3,[6. 6. 7.],1100
10,3,[6. 6. 8.],1100
10,3,[6. 6. 9.],1100
10,3,[6. 7. 0.],1000
10,3,[6. 7. 1.],1000
10,3,[6. 7. 2.],1000
10,3,[6. 7. 3.],1000
10,3,[6. 7. 4.],1000
10,3,[6. 7. 5.],1000
10,3,[6. 7. 6.],1010
10,3,[6. 7. 7.],1000
10,3,[6. 7. 8.],1000
10,3,[6. 7. 9.],1000
10,3,[6. 8. 0.],1000
10,3,[6. 8. 1.],1000
10,3,[6. 8. 2.],1000
10,3,[6. 8. 3.],1000
