number_of_characters,length_of_case,absorbing_state,expected_value
3,6,[0. 0. 1. 0. 0. 2.],1008
3,6,[0. 0. 1. 0. 1. 0.],1002
3,6,[0. 0. 1. 0. 1. 1.],999
3,6,[0. 0. 1. 0. 1. 2.],999
3,6,[0. 0. 1. 0. 2. 0.],1002
3,6,[0. 0. 1. 0. 2. 1.],999
3,6,[0. 0. 1. 0. 2. 2.],999
3,6,[0. 0. 1. 1. 0. 0.],984
3,6,[0. 0. 1. 1. 0. 1.],981
3,6,[0. 0. 1. 1. 0. 2.],981
3,6,[0. 0. 1. 1. 1. 0.],975
3,6,[0. 0. 1. 1. 1. 1.],972
3,6,[0. 0. 1. 1. 1. 2.],972
3,6,[0. 0. 1. 1. 2. 0.],975
3,6,[0. 0. 1. 1. 2. 1.],972
3,6,[0. 0. 1. 1. 2. 2.],972
3,6,[0. 0. 1. 2. 0. 0.],984
3,6,[0. 0. 1. 2. 0. 1.],981
3,6,[0. 0. 1. 2. 0. 2.],981
3,6,[0. 0. 1. 2. 1. 0.],975
3,6,[0. 0. 1. 2. 1. 1.],972
3,6,[0. 0. 1. 2. 1. 2.],972
3,6,[0. 0. 1. 2. 2. 0.],975
3,6,[0. 0. 1. 2. 2. 1.],972
3,6,[0. 0. 1. 2. 2. 2.],972
3,6,[0. 0. 2. 0. 0. 0.],1011
3,6,[0. 0. 2. 0. 0. 1.],1008
3,6,[0. 0. 2. 0. 0. 2.],1008
3,6,[0. 0. 2. 0. 1. 0.],1002
3,6,[0. 0. 2. 0. 1. 1.],999
3,6,[0. 0. 2. 0. 1. 2.],999
3,6,[0. 0. 2. 0. 2. 0.],1002
3,6,[0. 0. 2. 0. 2. 1.],999
3,6,[0. 0. 2. 0. 2. 2.],999
3,6,[0. 0. 2. 1. 0. 0.],984
3,6,[0. 0. 2. 1. 0. 1.],981
3,6,[0. 0. 2. 1. 0. 2.],981
3,6,[0. 0. 2. 1. 1. 0.],975
3,6,[0. 0. 2. 1. 1. 1.],972
3,6,[0. 0. 2. 1. 1. 2.],972
3,6,[0. 0. 2. 1. 2. 0.],975
3,6,[0. 0. 2. 1. 2. 1.],972
3,6,[0. 0. 2. 1. 2. 2.],972
3,6,[0. 0. 2. 2. 0. 0.],984
3,6,[0. 0. 2. 2. 0. 1.],981
3,6,[0. 0. 2. 2. 0. 2.],981
3,6,[0. 0. 2. 2. 1. 0.],975
3,6,[0. 0. 2. 2. 1. 1.],972
3,6,[0. 0. 2. 2. 1. 2.],972
3,6,[0. 0. 2. 2. 2. 0.],975
3,6,[0. 0. 2. 2. 2. 1.],972
3,6,[0. 0. 2. 2. 2. 2.],972
3,6,[0. 1. 0. 0. 0. 0.],849
3,6,[0. 1. 0. 0. 0. 1.],846
3,6,[0. 1. 0. 0. 0. 2.],846
3,6,[0. 1. 0. 0. 1. 0.],840
3,6,[0. 1. 0. 0. 1. 1.],837
3,6,[0. 1. 0. 0. 1. 2.],837
3,6,[0. 1. 0. 0. 2. 0.],840
3,6,[0. 1. 0. 0. 2. 1.],837
3,6,[0. 1. 0. 0. 2. 2.],837
3,6,[0. 1. 0. 1. 0. 0.],822
3,6,[0. 1. 0. 1. 0. 1.],819
3,6,[0. 1. 0. 1. 0. 2.],819
3,6,[0. 1. 0. 1. 1. 0.],813
3,6,[0. 1. 0. 1. 1. 1.],810
3,6,[0. 1. 0. 1. 1. 2.],810
3,6,[0. 1. 0. 1. 2. 0.],813
3,6,[0. 1. 0. 1. 2. 1.],810
3,6,[0. 1. 0. 1. 2. 2.],810
3,6,[0. 1. 0. 2. 0. 0.],822
3,6,[0. 1. 0. 2. 0. 1.],819
3,6,[0. 1. 0. 2. 0. 2.],819
3,6,[0. 1. 0. 2. 1. 0.],813
3,6,[0. 1. 0. 2. 1. 1.],810
3,6,[0. 1. 0. 2. 1. 2.],810
3,6,[0. 1. 0. 2. 2. 0.],813
3,6,[0. 1. 0. 2. 2. 1.],810
3,6,[0. 1. 0. 2. 2. 2.],810
3,6,[0. 1. 1. 0. 0. 0.],768
3,6,[0. 1. 1. 0. 0. 1.],765
3,6,[0. 1. 1. 0. 0. 2.],765
3,6,[0. 1. 1. 0. 1. 0.],759
3,6,[0. 1. 1. 0. 1. 1.],756
3,6,[0. 1. 1. 0. 1. 2.],756
3,6,[0. 1. 1. 0. 2. 0.],759
3,6,[0. 1. 1. 0. 2. 1.],756
3,6,[0. 1. 1. 0. 2. 2.],756
3,6,[0. 1. 1. 1. 0. 0.],741
3,6,[0. 1. 1. 1. 0. 1.],738
3,6,[0. 1. 1. 1. 0. 2.],738
3,6,[0. 1. 1. 1. 1. 0.],732
3,6,[0. 1. 1. 1. 1. 1.],729
3,6,[0. 1. 1. 1. 1. 2.],729
3,6,[0. 1. 1. 1. 2. 0.],732
3,6,[0. 1. 1. 1. 2. 1.],729
3,6,[0. 1. 1. 1. 2. 2.],729
3,6,[0. 1. 1. 2. 0. 0.],741
3,6,[0. 1. 1. 2. 0. 1.],738
3,6,[0. 1. 1. 2. 0. 2.],738
3,6,[0. 1. 1. 2. 1. 0.],732
3,6,[0. 1. 1. 2. 1. 1.],729
3,6,[0. 1. 1. 2. 1. 2.],729
3,6,[0. 1. 1. 2. 2. 0.],732
3,6,[0. 1. 1. 2. 2. 1.],729
3,6,[0. 1. 1. 2. 2. 2.],729
3,6,[0. 1. 2. 0. 0. 0.],768
